video_id,title,published_at,views,likes,comments,tags,channel_id,duration_seconds
_eZRkmRfVTM,Conditional Formatting in Excel | Excel Tutorials for Beginners,2022-01-11T11:30:08Z,276434,5511,132,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'excel tutorials', 'excel for data analysis', 'excel for data analysts', 'how to use excel', 'excel for data science', 'excel tutorials for beginners', 'excel for beginners', 'conditional formatting', 'conditional formatting in excel', 'how to use conditional formatting']",UC7cs8q-gJRlGwj4A8OmCmXg,1259
s3JmRxs53W4,150k Subscriber Livestream!!,2022-01-10T14:59:31Z,3502,159,7,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'Alex the analyst live stream', '150k live stream', 'Data Analyst live', 'Data Analyst live stream']",UC7cs8q-gJRlGwj4A8OmCmXg,5138
yDG5KiiOZcQ,How To Become A Data Analyst In 2022,2022-01-04T11:30:11Z,498539,21867,629,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'how to become a data analyst in 2022', 'how to become a data analyst', 'data analyst guide', 'data analyst tutorials', 'become a data analyst', 'how to get into data analytics', 'how to get an analytics job', 'analytics job', 'getting a data analyst job', 'data analytics job', 'life as a data analyst']",UC7cs8q-gJRlGwj4A8OmCmXg,780
Z7hPEwCzk2s,XLOOKUP in Excel | Excel Tutorials for Beginners,2021-12-28T11:30:06Z,332323,6598,252,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'excel tutorials', 'excel for data analysis', 'excel for data analysts', 'how to use excel', 'excel for data science', 'excel tutorials for beginners', 'excel for beginners', 'xlookup', 'xlookup in excel', 'how to use xlookup', 'how to use xlookup in excel', 'xlookup tutorial']",UC7cs8q-gJRlGwj4A8OmCmXg,1127
XRPyj7cKVsQ,Formulas in Excel | Excel Tutorials for Beginners,2021-12-21T11:30:07Z,542206,10853,531,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'excel tutorials', 'excel for data analysis', 'excel for data analysts', 'how to use excel', 'excel for data science', 'excel tutorials for beginners', 'excel for beginners', 'formulas', 'formulas in excel', 'excel formulas', 'excel formulas for beginners']",UC7cs8q-gJRlGwj4A8OmCmXg,2034
lH7HfwUFnYA,Pivot Tables in Excel | Excel Tutorials for Beginners,2021-12-14T11:30:07Z,1084331,21113,486,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'excel tutorials', 'excel for data analysis', 'excel for data analysts', 'how to use excel', 'excel for data science', 'excel tutorials for beginners', 'pivot tables in excel', 'excel for beginners', 'how to use a pivot table', 'how to use a pivot table in excel', 'pivot table excel']",UC7cs8q-gJRlGwj4A8OmCmXg,1055
zOR0-nygfDE,Full Beginner Project in Tableau | Tableau Tutorials for Beginners,2021-12-07T11:30:11Z,358998,6813,519,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'tableau tutorial', 'tableau tutorials', 'tableau tutorial for beginners', 'tableau tutorials for beginner', 'tableau tutorials for data analysts', 'tableau tutorials for data scientists', 'tableau basic', 'tableau basics', 'tableau projects', 'Tableau joins', 'joins in tableau', 'Tableau project', 'tableau portfolio project', 'projects in tableau', 'project for tableau']",UC7cs8q-gJRlGwj4A8OmCmXg,2658
A4SVUF-fTwc,How to use Joins in Tableau | Tableau Tutorials for Beginners,2021-11-23T11:30:02Z,183466,4611,75,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'tableau tutorial', 'tableau tutorials', 'tableau tutorial for beginners', 'tableau tutorials for beginner', 'tableau tutorials for data analysts', 'tableau tutorials for data scientists', 'tableau basic', 'tableau basics', 'tableau projects', 'Tableau joins', 'joins in tableau']",UC7cs8q-gJRlGwj4A8OmCmXg,869
FnTunxd8tAM,Top 5 Major Red Flags in Job Descriptions,2021-11-18T11:30:08Z,18467,954,71,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'red flags', 'red flags in jobs', 'major red flags', 'red flags in data analyst jobs', 'red flags in data science jobs', 'big red flags', 'red flags in job interviews']",UC7cs8q-gJRlGwj4A8OmCmXg,421
-_z_aphWSEo,Truth About My Job (Song) - As a Data Analyst,2021-11-08T11:30:01Z,12044,932,108,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'truth about my job song', 'truth song', 'truth about data analytics', 'reality of data analytics', 'reality of data science', 'data science song', 'data science songs', 'song about data', 'data song', 'songs about data science', 'truth about data analyst job', 'truth about data science song']",UC7cs8q-gJRlGwj4A8OmCmXg,198
